Number of frames: 3000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z,iRigid16_probe_A1 x,iRigid16_probe_A1 y,iRigid16_probe_A1 z,iRigid16_probe_A2 x,iRigid16_probe_A2 y,iRigid16_probe_A2 z,iRigid16_probe_A3 x,iRigid16_probe_A3 y,iRigid16_probe_A3 z,iRigid14_probe_B1 x,iRigid14_probe_B1 y,iRigid14_probe_B1 z,iRigid14_probe_B2 x,iRigid14_probe_B2 y,iRigid14_probe_B2 z,iRigid14_probe_B3 x,iRigid14_probe_B3 y,iRigid14_probe_B3 z,iRigid8_probe_C1 x,iRigid8_probe_C1 y,iRigid8_probe_C1 z,iRigid8_probe_C2 x,iRigid8_probe_C2 y,iRigid8_probe_C2 z,iRigid8_probe_C3 x,iRigid8_probe_C3 y,iRigid8_probe_C3 z
1,376.242126465,-209.149734497,-2353.034179688,378.303070068,-189.064315796,-2349.658691406,394.859283447,-200.446563721,-2354.315673828,241.648864746,-223.527160645,-2325.777099609,242.592422485,-243.275695801,-2328.334716797,224.576690674,-234.303268433,-2326.382080078,377.620971680,-271.451507568,-2332.388671875,381.583129883,-252.157348633,-2327.803955078,396.979705811,-264.781341553,-2332.562011719,,,,,,,,,,283.328125000,-192.331573486,-2349.010253906,301.603759766,-200.476211548,-2360.456787109,332.711883545,-186.710464478,-2356.399414063,288.982269287,-229.921844482,-2334.655273438,300.420684814,-226.374389648,-2350.473388672,334.911376953,-220.413085938,-2334.612304688,282.406951904,-264.081207275,-2325.879394531,302.251434326,-255.657836914,-2339.329589844,335.326446533,-264.659881592,-2325.768310547,
2,376.240661621,-209.152755737,-2353.002441406,378.303070068,-189.067138672,-2349.645996094,394.859771729,-200.451416016,-2354.294189453,241.644653320,-223.514984131,-2325.760009766,242.588333130,-243.264343262,-2328.311523438,224.570877075,-234.292617798,-2326.365966797,377.613769531,-271.444885254,-2332.348876953,381.572845459,-252.148193359,-2327.773681641,396.970886230,-264.778472900,-2332.532470703,,,,,,,,,,283.328186035,-192.331268311,-2348.984130859,301.602539063,-200.486419678,-2360.425292969,332.711212158,-186.717269897,-2356.383544922,288.979339600,-229.911529541,-2334.624755859,300.421508789,-226.368469238,-2350.441162109,334.908233643,-220.401657104,-2334.573486328,282.399871826,-264.073211670,-2325.811279297,302.239837646,-255.655883789,-2339.271972656,335.319396973,-264.651580811,-2325.717529297,
3,376.247497559,-209.145507813,-2353.023925781,378.307464600,-189.056549072,-2349.673828125,394.861633301,-200.442672729,-2354.310058594,241.646652222,-223.471572876,-2325.721679688,242.584533691,-243.225143433,-2328.251708984,224.569229126,-234.247299194,-2326.308105469,377.599700928,-271.456268311,-2332.219726563,381.568023682,-252.148559570,-2327.664062500,396.962768555,-264.788818359,-2332.404785156,,,,,,,,,,283.330841064,-192.325622559,-2349.051269531,301.610382080,-200.484283447,-2360.481445313,332.716735840,-186.712203979,-2356.431640625,288.975524902,-229.888839722,-2334.600585938,300.411376953,-226.365875244,-2350.425781250,334.906433105,-220.388717651,-2334.580322266,282.389251709,-264.047271729,-2325.713378906,302.234832764,-255.650421143,-2339.178710938,335.308624268,-264.639678955,-2325.605712891,
4,376.239837646,-209.162338257,-2352.940185547,378.300506592,-189.064041138,-2349.635253906,394.850738525,-200.459304810,-2354.262451172,241.625961304,-223.398834229,-2325.648437500,242.561019897,-243.158752441,-2328.149414063,224.548660278,-234.167541504,-2326.232421875,377.563568115,-271.463012695,-2331.988281250,381.551544189,-252.149765015,-2327.493896484,396.934448242,-264.816711426,-2332.184570313,,,,,,,,,,283.324645996,-192.343917847,-2348.916015625,301.594390869,-200.525192261,-2360.345947266,332.702880859,-186.740707397,-2356.355224609,288.961425781,-229.847610474,-2334.481445313,300.410919189,-226.352066040,-2350.302978516,334.895996094,-220.365173340,-2334.439453125,282.358367920,-263.934600830,-2325.556640625,302.219879150,-255.601943970,-2339.038330078,335.277008057,-264.582366943,-2325.419189453,
5,376.248413086,-209.167465210,-2352.789794922,378.309265137,-189.062149048,-2349.532958984,394.861419678,-200.473587036,-2354.123291016,241.623794556,-223.332946777,-2325.537841797,242.556823730,-243.095596313,-2327.985839844,224.541885376,-234.101425171,-2326.108154297,377.545806885,-271.430877686,-2331.685058594,381.533203125,-252.108978271,-2327.263183594,396.912139893,-264.802368164,-2331.921875000,,,,,,,,,,283.333557129,-192.321212769,-2348.859375000,301.608062744,-200.534301758,-2360.258789063,332.717132568,-186.746368408,-2356.284667969,288.964080811,-229.808090210,-2334.313232422,300.427459717,-226.354995728,-2350.134033203,334.899536133,-220.330047607,-2334.256835938,282.342407227,-263.853118896,-2325.208496094,302.196350098,-255.575317383,-2338.734863281,335.260894775,-264.518127441,-2325.108886719,
6,376.240692139,-209.175918579,-2352.716552734,378.306610107,-189.066604614,-2349.502685547,394.856811523,-200.492233276,-2354.060546875,241.620574951,-223.246505737,-2325.407226563,242.546829224,-243.019363403,-2327.806396484,224.539581299,-234.021682739,-2325.946533203,377.528442383,-271.410369873,-2331.356933594,381.518920898,-252.070404053,-2326.999755859,396.902465820,-264.779785156,-2331.610107422,,,,,,,,,,283.329498291,-192.291427612,-2348.864990234,301.606445313,-200.535247803,-2360.238281250,332.718292236,-186.749084473,-2356.279785156,288.956848145,-229.749511719,-2334.180419922,300.415863037,-226.336563110,-2350.013183594,334.892822266,-220.273818970,-2334.160644531,282.326965332,-263.805816650,-2324.937011719,302.185516357,-255.575012207,-2338.485351563,335.245422363,-264.471862793,-2324.818115234,
7,376.250579834,-209.168319702,-2352.645019531,378.311706543,-189.051086426,-2349.475830078,394.861236572,-200.484786987,-2354.021240234,241.625640869,-223.161682129,-2325.310058594,242.540100098,-242.941543579,-2327.651855469,224.538009644,-233.928924561,-2325.804199219,377.493286133,-271.433959961,-2331.044677734,381.504150391,-252.077911377,-2326.766845703,396.875671387,-264.817749023,-2331.308837891,,,,,,,,,,283.336608887,-192.298019409,-2348.762451172,301.607269287,-200.562133789,-2360.131103516,332.718658447,-186.760009766,-2356.225097656,288.951568604,-229.714874268,-2334.101318359,300.399841309,-226.354431152,-2349.952880859,334.892456055,-220.263214111,-2334.145507813,282.296264648,-263.708831787,-2324.736328125,302.173950195,-255.554885864,-2338.303222656,335.213928223,-264.424926758,-2324.570556641,
8,376.276672363,-209.141403198,-2352.546386719,378.327270508,-189.014236450,-2349.428955078,394.882720947,-200.447937012,-2353.949218750,241.645935059,-223.102035522,-2325.213134766,242.561340332,-242.883605957,-2327.489746094,224.557296753,-233.862258911,-2325.671875000,377.466857910,-271.479980469,-2330.666992188,381.504974365,-252.111206055,-2326.482666016,396.855682373,-264.899566650,-2330.951660156,,,,,,,,,,283.353851318,-192.319961548,-2348.683837891,301.626983643,-200.601257324,-2360.035888672,332.730529785,-186.769378662,-2356.172607422,288.972503662,-229.686462402,-2333.981201172,300.421722412,-226.379425049,-2349.843505859,334.914733887,-220.241378784,-2334.055175781,282.276580811,-263.565582275,-2324.457519531,302.176391602,-255.512191772,-2338.052001953,335.192871094,-264.369384766,-2324.254638672,
9,376.296020508,-209.117431641,-2352.428466797,378.336486816,-188.976486206,-2349.362548828,394.895782471,-200.417419434,-2353.850341797,241.667236328,-223.027709961,-2325.066894531,242.585998535,-242.814682007,-2327.271972656,224.581115723,-233.792053223,-2325.495849609,377.435455322,-271.520111084,-2330.161621094,381.501861572,-252.136566162,-2326.096435547,396.834838867,-264.982116699,-2330.468505859,,,,,,,,,,283.363891602,-192.326034546,-2348.624511719,301.642639160,-200.628707886,-2359.952148438,332.739257813,-186.772613525,-2356.120117188,288.999176025,-229.634353638,-2333.787353516,300.455902100,-226.382080078,-2349.655517578,334.939849854,-220.181701660,-2333.871582031,282.251892090,-263.391632080,-2324.102539063,302.180816650,-255.461746216,-2337.726806641,335.166351318,-264.292846680,-2323.839111328,
10,376.333007813,-209.081176758,-2352.253417969,378.361633301,-188.929168701,-2349.275634766,394.925231934,-200.387695313,-2353.720947266,241.698013306,-222.903869629,-2324.855468750,242.616317749,-242.705337524,-2326.959228516,224.609085083,-233.677215576,-2325.243164063,377.394226074,-271.541809082,-2329.486328125,381.489166260,-252.135971069,-2325.576171875,396.805511475,-265.043426514,-2329.846923828,,,,,,,,,,283.393310547,-192.307601929,-2348.486083984,301.670440674,-200.653472900,-2359.784423828,332.763885498,-186.770355225,-2356.025146484,289.034576416,-229.553405762,-2333.505615234,300.503295898,-226.380920410,-2349.381347656,334.974456787,-220.097000122,-2333.602783203,282.223602295,-263.209564209,-2323.490478516,302.165161133,-255.421691895,-2337.177978516,335.136505127,-264.196594238,-2323.220947266,
11,376.363983154,-209.042999268,-2352.049560547,378.377716064,-188.872573853,-2349.178222656,394.953887939,-200.340621948,-2353.562988281,241.716598511,-222.750747681,-2324.594726563,242.638381958,-242.566787720,-2326.601074219,224.633453369,-233.527069092,-2324.943115234,377.335632324,-271.576782227,-2328.682617188,381.473968506,-252.142990112,-2324.937988281,396.768798828,-265.123291016,-2329.079345703,,,,,,,,,,283.412658691,-192.324539185,-2348.373291016,301.696899414,-200.715042114,-2359.626953125,332.778900146,-186.786941528,-2355.940185547,289.062255859,-229.443588257,-2333.175537109,300.543212891,-226.348846436,-2349.057861328,335.002044678,-219.986923218,-2333.283447266,282.181335449,-262.972869873,-2322.862304688,302.155120850,-255.350982666,-2336.596191406,335.091491699,-264.078247070,-2322.527099609,
12,376.387939453,-209.020019531,-2351.760253906,378.395385742,-188.833404541,-2349.014160156,394.979034424,-200.318191528,-2353.338134766,241.732650757,-222.594711304,-2324.308837891,242.648727417,-242.418975830,-2326.187744141,224.644134521,-233.369674683,-2324.597900391,377.268829346,-271.591491699,-2327.881103516,381.448547363,-252.138381958,-2324.303466797,396.712738037,-265.198852539,-2328.308837891,,,,,,,,,,283.433349609,-192.323577881,-2348.135742188,301.715362549,-200.774261475,-2359.347900391,332.792785645,-186.809265137,-2355.763671875,289.079681396,-229.350234985,-2332.820068359,300.570129395,-226.359161377,-2348.715332031,335.021453857,-219.903717041,-2332.962646484,282.125946045,-262.683166504,-2322.268310547,302.138732910,-255.237243652,-2336.041992188,335.032440186,-263.927520752,-2321.850830078,
13,376.415283203,-209.003890991,-2351.553222656,378.415283203,-188.802124023,-2348.907958984,394.999908447,-200.306274414,-2353.152832031,241.754821777,-222.444824219,-2324.019531250,242.666702271,-242.276794434,-2325.774902344,224.658462524,-233.220779419,-2324.241699219,377.216003418,-271.575286865,-2327.120117188,381.425292969,-252.099670410,-2323.715332031,396.665985107,-265.220123291,-2327.602294922,,,,,,,,,,283.451049805,-192.306106567,-2348.122558594,301.747711182,-200.810653687,-2359.269775391,332.818389893,-186.821640015,-2355.720947266,289.098205566,-229.255538940,-2332.487792969,300.589080811,-226.364044189,-2348.401123047,335.040679932,-219.813461304,-2332.688232422,282.085144043,-262.462402344,-2321.598144531,302.111541748,-255.172149658,-2335.435058594,334.989471436,-263.789733887,-2321.163330078,
