Number of frames: 3000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z,iRigid16_probe_A1 x,iRigid16_probe_A1 y,iRigid16_probe_A1 z,iRigid16_probe_A2 x,iRigid16_probe_A2 y,iRigid16_probe_A2 z,iRigid16_probe_A3 x,iRigid16_probe_A3 y,iRigid16_probe_A3 z,iRigid14_probe_B1 x,iRigid14_probe_B1 y,iRigid14_probe_B1 z,iRigid14_probe_B2 x,iRigid14_probe_B2 y,iRigid14_probe_B2 z,iRigid14_probe_B3 x,iRigid14_probe_B3 y,iRigid14_probe_B3 z,iRigid8_probe_C1 x,iRigid8_probe_C1 y,iRigid8_probe_C1 z,iRigid8_probe_C2 x,iRigid8_probe_C2 y,iRigid8_probe_C2 z,iRigid8_probe_C3 x,iRigid8_probe_C3 y,iRigid8_probe_C3 z
1,378.068695068,-206.310836792,-2353.152587891,379.365417480,-186.159545898,-2349.807128906,396.325439453,-196.900054932,-2354.496093750,244.366424561,-227.251770020,-2324.901367188,246.086380005,-246.879791260,-2328.021240234,227.760910034,-238.746459961,-2325.293212891,382.469573975,-267.991271973,-2336.891845703,385.459411621,-248.627746582,-2331.891357422,401.400665283,-260.200256348,-2337.493408203,,,,,,,,,,284.585601807,-193.075180054,-2348.883300781,303.128845215,-200.525451660,-2360.372558594,333.695617676,-185.568069458,-2356.419677734,291.638275146,-231.342834473,-2335.343750000,302.423217773,-226.892364502,-2351.390869141,337.096160889,-219.837631226,-2336.399902344,287.260162354,-266.389038086,-2327.155517578,306.125732422,-256.465301514,-2340.985839844,340.099060059,-263.868682861,-2328.742187500,
2,378.072204590,-206.305541992,-2353.167968750,379.371307373,-186.151458740,-2349.823974609,396.330841064,-196.891998291,-2354.508056641,244.371246338,-227.247177124,-2324.909179688,246.090774536,-246.875900269,-2328.025634766,227.767211914,-238.740280151,-2325.292236328,382.469970703,-267.998291016,-2336.869140625,385.462768555,-248.631744385,-2331.878662109,401.403350830,-260.210021973,-2337.479248047,,,,,,,,,,284.589843750,-193.065155029,-2348.919433594,303.135345459,-200.516906738,-2360.404052734,333.701660156,-185.559951782,-2356.446044922,291.640106201,-231.341354370,-2335.368652344,302.419036865,-226.894592285,-2351.420898438,337.097869873,-219.837615967,-2336.444580078,287.263336182,-266.379943848,-2327.111816406,306.126861572,-256.465270996,-2340.951416016,340.102172852,-263.866485596,-2328.711914063,
3,378.065490723,-206.311294556,-2353.125732422,379.368377686,-186.156036377,-2349.791503906,396.332580566,-196.900192261,-2354.471191406,244.365417480,-227.229980469,-2324.886718750,246.085479736,-246.862915039,-2327.995117188,227.762619019,-238.724700928,-2325.276855469,382.467498779,-267.990875244,-2336.819335938,385.459259033,-248.622451782,-2331.835937500,401.403320313,-260.208007813,-2337.441650391,,,,,,,,,,284.587615967,-193.056472778,-2348.885009766,303.132263184,-200.516098022,-2360.365722656,333.700500488,-185.561309814,-2356.414794922,291.641235352,-231.331649780,-2335.313964844,302.430908203,-226.891296387,-2351.360595703,337.100189209,-219.830108643,-2336.364013672,287.264465332,-266.364685059,-2327.021972656,306.122680664,-256.455841064,-2340.873046875,340.102752686,-263.854980469,-2328.645507813,
4,378.072723389,-206.307449341,-2353.145751953,379.372741699,-186.151855469,-2349.808593750,396.338226318,-196.894577026,-2354.494384766,244.364562988,-227.201568604,-2324.864501953,246.082656860,-246.838394165,-2327.954833984,227.759475708,-238.695922852,-2325.237548828,382.455200195,-268.005645752,-2336.721435547,385.456207275,-248.628982544,-2331.770507813,401.394073486,-260.224334717,-2337.353271484,,,,,,,,,,284.593841553,-193.064987183,-2348.880126953,303.136596680,-200.520614624,-2360.366455078,333.703948975,-185.562561035,-2356.420654297,291.635986328,-231.316574097,-2335.304687500,302.420135498,-226.892303467,-2351.359863281,337.095275879,-219.818908691,-2336.382568359,287.253265381,-266.336334229,-2326.938476563,306.115814209,-256.455596924,-2340.803466797,340.092437744,-263.843261719,-2328.559570313,
5,378.072753906,-206.316619873,-2353.084716797,379.371185303,-186.153488159,-2349.771240234,396.341247559,-196.903335571,-2354.443847656,244.357727051,-227.135589600,-2324.786132813,246.072479248,-246.780975342,-2327.841064453,227.752365112,-238.630676270,-2325.143310547,382.435882568,-268.014770508,-2336.515869141,385.445892334,-248.626968384,-2331.620117188,401.380096436,-260.251007080,-2337.171875000,,,,,,,,,,284.593902588,-193.072280884,-2348.841796875,303.137847900,-200.540863037,-2360.317871094,333.704132080,-185.576477051,-2356.387939453,291.631256104,-231.277954102,-2335.207275391,302.420196533,-226.884063721,-2351.267333984,337.092468262,-219.788818359,-2336.293701172,287.234497070,-266.258483887,-2326.733398438,306.102600098,-256.429351807,-2340.627685547,340.075134277,-263.803680420,-2328.364257813,
6,378.066406250,-206.332977295,-2352.984375000,379.368377686,-186.162841797,-2349.714843750,396.337921143,-196.925857544,-2354.358154297,244.342620850,-227.033935547,-2324.659667969,246.050964355,-246.690643311,-2327.665039063,227.732360840,-238.528915405,-2324.999023438,382.413238525,-267.995422363,-2336.220214844,385.419830322,-248.591857910,-2331.379638672,401.358215332,-260.236968994,-2336.895019531,,,,,,,,,,284.589233398,-193.060440063,-2348.801513672,303.135498047,-200.557937622,-2360.254882813,333.703491211,-185.591064453,-2356.347900391,291.619995117,-231.218612671,-2335.041259766,302.420166016,-226.867813110,-2351.105468750,337.085296631,-219.745712280,-2336.128173828,287.208526611,-266.205688477,-2326.466308594,306.080566406,-256.418304443,-2340.384521484,340.049713135,-263.758453369,-2328.091308594,
7,378.065795898,-206.341705322,-2352.913085938,379.371520996,-186.166809082,-2349.683105469,396.337005615,-196.941421509,-2354.307373047,244.337387085,-226.934936523,-2324.535644531,246.035308838,-246.600601196,-2327.474609375,227.719451904,-238.423248291,-2324.835937500,382.387786865,-268.000427246,-2335.913574219,385.403045654,-248.579772949,-2331.141601563,401.336517334,-260.247131348,-2336.594726563,,,,,,,,,,284.590881348,-193.044754028,-2348.743652344,303.134246826,-200.567871094,-2360.185058594,333.705474854,-185.599014282,-2356.311035156,291.611450195,-231.176101685,-2334.903564453,302.413391113,-226.884399414,-2350.982666016,337.082122803,-219.728286743,-2336.029785156,287.175048828,-266.132446289,-2326.269287109,306.066406250,-256.404235840,-2340.202880859,340.019012451,-263.713623047,-2327.845947266,
8,378.065856934,-206.346603394,-2352.860839844,379.370208740,-186.168777466,-2349.653808594,396.336151123,-196.950958252,-2354.261718750,244.331466675,-226.847732544,-2324.440185547,246.024124146,-246.521240234,-2327.309814453,227.713333130,-238.330688477,-2324.697998047,382.358551025,-268.029327393,-2335.611083984,385.391174316,-248.591995239,-2330.911865234,401.317535400,-260.300384521,-2336.312500000,,,,,,,,,,284.589538574,-193.039916992,-2348.729003906,303.135162354,-200.577453613,-2360.157226563,333.706390381,-185.605987549,-2356.293457031,291.604187012,-231.136001587,-2334.798828125,302.405273438,-226.903671265,-2350.894287109,337.077667236,-219.704025269,-2335.970947266,287.142822266,-266.019317627,-2326.025146484,306.052246094,-256.365722656,-2339.986083984,339.990234375,-263.664611816,-2327.582763672,
9,378.076538086,-206.337097168,-2352.795410156,379.376464844,-186.154754639,-2349.621582031,396.342102051,-196.943801880,-2354.205322266,244.331283569,-226.748672485,-2324.327636719,246.021606445,-246.431152344,-2327.106689453,227.712142944,-238.226776123,-2324.535156250,382.328460693,-268.056243896,-2335.212646484,385.380645752,-248.597824097,-2330.628662109,401.294372559,-260.352630615,-2335.957275391,,,,,,,,,,284.595672607,-193.032577515,-2348.717529297,303.145843506,-200.587600708,-2360.126708984,333.714447021,-185.607009888,-2356.277587891,291.605285645,-231.089950562,-2334.659423828,302.409454346,-226.932998657,-2350.772216797,337.080932617,-219.671340942,-2335.876953125,287.113159180,-265.891418457,-2325.651367188,306.034454346,-256.340240479,-2339.666748047,339.963226318,-263.601287842,-2327.215820313,
10,378.087860107,-206.333282471,-2352.716796875,379.383758545,-186.139801025,-2349.584960938,396.352539063,-196.937072754,-2354.146240234,244.335998535,-226.617523193,-2324.177246094,246.021301270,-246.311523438,-2326.838134766,227.712921143,-238.090194702,-2324.320556641,382.292572021,-268.095916748,-2334.678222656,385.370605469,-248.607849121,-2330.245361328,401.268920898,-260.421844482,-2335.470947266,,,,,,,,,,284.604583740,-193.037780762,-2348.667480469,303.156463623,-200.612991333,-2360.060791016,333.721893311,-185.617858887,-2356.242919922,291.610992432,-231.029724121,-2334.470214844,302.420440674,-226.971343994,-2350.604492188,337.089904785,-219.630111694,-2335.743408203,287.075317383,-265.729339600,-2325.192626953,306.017791748,-256.313262939,-2339.270507813,339.929321289,-263.521972656,-2326.742675781,
