Number of frames: 3000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z,iRigid16_probe_A1 x,iRigid16_probe_A1 y,iRigid16_probe_A1 z,iRigid16_probe_A2 x,iRigid16_probe_A2 y,iRigid16_probe_A2 z,iRigid16_probe_A3 x,iRigid16_probe_A3 y,iRigid16_probe_A3 z,iRigid14_probe_B1 x,iRigid14_probe_B1 y,iRigid14_probe_B1 z,iRigid14_probe_B2 x,iRigid14_probe_B2 y,iRigid14_probe_B2 z,iRigid14_probe_B3 x,iRigid14_probe_B3 y,iRigid14_probe_B3 z,iRigid8_probe_C1 x,iRigid8_probe_C1 y,iRigid8_probe_C1 z,iRigid8_probe_C2 x,iRigid8_probe_C2 y,iRigid8_probe_C2 z,iRigid8_probe_C3 x,iRigid8_probe_C3 y,iRigid8_probe_C3 z
1,377.711029053,-207.026000977,-2349.519287109,379.183471680,-186.685028076,-2347.806640625,396.074005127,-197.937545776,-2351.522705078,242.887298584,-221.298446655,-2320.090332031,243.824554443,-241.186706543,-2320.942138672,225.848007202,-232.124649048,-2319.287841797,379.057952881,-268.820526123,-2325.020507813,382.936431885,-249.107162476,-2322.881103516,398.334472656,-262.098693848,-2326.614501953,,,,,,,,,,284.344726563,-192.604263306,-2346.841552734,302.866271973,-201.135787964,-2357.589599609,333.561096191,-186.198623657,-2354.694335938,289.982391357,-228.365081787,-2329.669433594,300.973419189,-226.190628052,-2346.043212891,335.857025146,-218.812454224,-2331.710937500,284.018371582,-261.427612305,-2316.336181641,303.336273193,-254.515472412,-2331.326416016,336.918334961,-261.608367920,-2317.878662109,
2,377.707183838,-207.029510498,-2349.525878906,379.176788330,-186.688903809,-2347.799072266,396.069274902,-197.940704346,-2351.525390625,242.887039185,-221.321792603,-2320.116210938,243.829376221,-241.209945679,-2320.980468750,225.849822998,-232.149291992,-2319.319824219,379.057037354,-268.834197998,-2325.052001953,382.937011719,-249.121978760,-2322.910156250,398.334381104,-262.118377686,-2326.651123047,,,,,,,,,,284.339782715,-192.613418579,-2346.827392578,302.860382080,-201.136901855,-2357.583496094,333.554992676,-186.200561523,-2354.681396484,289.983764648,-228.375503540,-2329.700927734,300.973968506,-226.189422607,-2346.073730469,335.856964111,-218.815124512,-2331.738281250,284.020568848,-261.426147461,-2316.337402344,303.335174561,-254.515075684,-2331.332275391,336.920043945,-261.616424561,-2317.895996094,
3,377.713104248,-207.018356323,-2349.578369141,379.178741455,-186.680587769,-2347.844726563,396.070648193,-197.930404663,-2351.572509766,242.890609741,-221.310531616,-2320.122558594,243.833282471,-241.201980591,-2320.983154297,225.853332520,-232.143264771,-2319.317382813,379.053375244,-268.838806152,-2325.014892578,382.935852051,-249.125427246,-2322.898681641,398.329833984,-262.124633789,-2326.622070313,,,,,,,,,,284.342193604,-192.611709595,-2346.885498047,302.864624023,-201.130386353,-2357.642333984,333.557830811,-186.192749023,-2354.731933594,289.983306885,-228.362548828,-2329.724121094,300.966918945,-226.178436279,-2346.101562500,335.854553223,-218.796936035,-2331.781005859,284.017272949,-261.415161133,-2316.311035156,303.332397461,-254.524230957,-2331.314697266,336.916778564,-261.609893799,-2317.868896484,
4,377.712890625,-207.027709961,-2349.537597656,379.180572510,-186.685516357,-2347.828857422,396.073425293,-197.937850952,-2351.554199219,242.884857178,-221.265869141,-2320.112060547,243.827743530,-241.155487061,-2320.937744141,225.850814819,-232.090667725,-2319.295654297,379.030609131,-268.854705811,-2324.799072266,382.927978516,-249.135131836,-2322.734375000,398.314270020,-262.151031494,-2326.409179688,,,,,,,,,,284.345062256,-192.622955322,-2346.804199219,302.861480713,-201.152877808,-2357.562500000,333.555358887,-186.209594727,-2354.688720703,289.983306885,-228.338409424,-2329.681152344,300.974273682,-226.184234619,-2346.057617188,335.856750488,-218.782608032,-2331.734619141,283.994445801,-261.348663330,-2316.190185547,303.325347900,-254.510406494,-2331.197509766,336.894989014,-261.578735352,-2317.706054688,
5,377.716308594,-207.016906738,-2349.434326172,379.178009033,-186.671173096,-2347.757568359,396.077941895,-197.934005737,-2351.457763672,242.880065918,-221.201156616,-2320.007812500,243.826339722,-241.096450806,-2320.803710938,225.846588135,-232.027755737,-2319.197509766,379.004821777,-268.837554932,-2324.529785156,382.915222168,-249.120147705,-2322.530029297,398.292694092,-262.165618896,-2326.142822266,,,,,,,,,,284.345489502,-192.610733032,-2346.767822266,302.867065430,-201.157958984,-2357.503662109,333.559326172,-186.209335327,-2354.639892578,289.991729736,-228.286087036,-2329.506835938,301.003356934,-226.154815674,-2345.872558594,335.867034912,-218.729812622,-2331.515869141,283.964080811,-261.206329346,-2316.049316406,303.318176270,-254.440841675,-2331.059814453,336.865966797,-261.496704102,-2317.507568359,
6,377.723022461,-207.017822266,-2349.367919922,379.183929443,-186.666809082,-2347.719238281,396.087341309,-197.936492920,-2351.407226563,242.879318237,-221.105194092,-2319.916259766,243.823104858,-241.006942749,-2320.664062500,225.843536377,-231.930099487,-2319.077392578,378.983978271,-268.805358887,-2324.217773438,382.899688721,-249.080276489,-2322.291503906,398.271759033,-262.138519287,-2325.852783203,,,,,,,,,,284.353088379,-192.609588623,-2346.707275391,302.873291016,-201.171127319,-2357.433837891,333.565521240,-186.217605591,-2354.595703125,289.988494873,-228.221298218,-2329.404296875,300.998229980,-226.131179810,-2345.776367188,335.864715576,-218.675582886,-2331.442626953,283.943817139,-261.128997803,-2315.777832031,303.300628662,-254.422119141,-2330.811035156,336.845855713,-261.431579590,-2317.228271484,
7,377.718505859,-207.015762329,-2349.288330078,379.181701660,-186.663482666,-2347.681396484,396.082977295,-197.942367554,-2351.347412109,242.883926392,-221.024475098,-2319.824951172,243.818984985,-240.924301147,-2320.525878906,225.844818115,-231.837875366,-2318.966308594,378.954895020,-268.804901123,-2323.897949219,382.885620117,-249.074386597,-2322.041259766,398.250244141,-262.159210205,-2325.541748047,,,,,,,,,,284.350219727,-192.590576172,-2346.650634766,302.868530273,-201.176498413,-2357.360839844,333.562957764,-186.221359253,-2354.555419922,289.993469238,-228.181304932,-2329.281250000,301.009307861,-226.134201050,-2345.654785156,335.874511719,-218.660446167,-2331.327392578,283.914581299,-261.018676758,-2315.564697266,303.289215088,-254.383300781,-2330.606689453,336.817504883,-261.369964600,-2316.970458984,
8,377.728454590,-206.995788574,-2349.248779297,379.184204102,-186.640884399,-2347.662597656,396.087371826,-197.920761108,-2351.312744141,242.892868042,-220.960525513,-2319.777832031,243.823654175,-240.861099243,-2320.407226563,225.850372314,-231.768966675,-2318.870849609,378.916137695,-268.828796387,-2323.554443359,382.872131348,-249.097076416,-2321.798339844,398.223724365,-262.219970703,-2325.233398438,,,,,,,,,,284.353973389,-192.592651367,-2346.647460938,302.877014160,-201.184936523,-2357.344482422,333.566833496,-186.218750000,-2354.547851563,289.995147705,-228.156890869,-2329.233398438,301.002471924,-226.170318604,-2345.620117188,335.876281738,-218.649261475,-2331.338378906,283.887390137,-260.875274658,-2315.257812500,303.270263672,-254.342300415,-2330.333984375,336.789764404,-261.304290771,-2316.663574219,
9,377.740386963,-206.982711792,-2349.167480469,379.191986084,-186.625503540,-2347.621093750,396.100921631,-197.904830933,-2351.262207031,242.900787354,-220.891204834,-2319.708496094,243.833862305,-240.789733887,-2320.261962891,225.860641479,-231.695083618,-2318.766113281,378.882293701,-268.845306396,-2323.134277344,382.860717773,-249.109100342,-2321.486572266,398.196105957,-262.273864746,-2324.825195313,,,,,,,,,,284.365447998,-192.606430054,-2346.528564453,302.883972168,-201.212631226,-2357.222412109,333.570648193,-186.230834961,-2354.475097656,290.007476807,-228.116867065,-2329.121093750,301.019989014,-226.191513062,-2345.511718750,335.888427734,-218.613113403,-2331.247314453,283.851226807,-260.714691162,-2315.009765625,303.262908936,-254.295349121,-2330.097656250,336.754760742,-261.224029541,-2316.342773438,
10,377.752990723,-206.956405640,-2349.103027344,379.200408936,-186.596298218,-2347.597656250,396.111846924,-197.880432129,-2351.198730469,242.907257080,-220.794692993,-2319.613769531,243.843154907,-240.692855835,-2320.076660156,225.870147705,-231.597534180,-2318.637939453,378.833648682,-268.867523193,-2322.574951172,382.846740723,-249.124130249,-2321.073486328,398.161743164,-262.337249756,-2324.289062500,,,,,,,,,,284.372802734,-192.587493896,-2346.583251953,302.902679443,-201.213424683,-2357.241210938,333.584747314,-186.221771240,-2354.495849609,290.023712158,-228.052322388,-2328.952148438,301.050354004,-226.198562622,-2345.341552734,335.904663086,-218.549011230,-2331.080566406,283.806854248,-260.514678955,-2314.645263672,303.250061035,-254.243621826,-2329.754882813,336.711242676,-261.122283936,-2315.900634766,
